,Customer_ID,Decision_Tree_Pred,Random_Forest_Pred
0,CUS_0xd40,2,2
1,CUS_0xd40,2,2
2,CUS_0xd40,2,2
3,CUS_0xd40,2,2
4,CUS_0x21b1,2,2
5,CUS_0x21b1,2,1
6,CUS_0x21b1,2,2
7,CUS_0x21b1,2,2
8,CUS_0x2dbc,2,1
9,CUS_0x2dbc,2,2
10,CUS_0x2dbc,2,1
11,CUS_0x2dbc,2,1
12,CUS_0xb891,2,1
13,CUS_0xb891,2,2
14,CUS_0xb891,2,2
15,CUS_0xb891,2,2
16,CUS_0x1cdb,1,1
17,CUS_0x1cdb,1,1
18,CUS_0x1cdb,1,1
19,CUS_0x1cdb,1,1
20,CUS_0x95ee,2,1
21,CUS_0x95ee,2,1
22,CUS_0x95ee,2,2
23,CUS_0x95ee,2,2
24,CUS_0x284a,2,2
25,CUS_0x284a,2,2
26,CUS_0x284a,2,2
27,CUS_0x284a,2,2
28,CUS_0x5407,1,0
29,CUS_0x5407,1,0
30,CUS_0x5407,1,0
31,CUS_0x5407,1,0
32,CUS_0x4157,2,1
33,CUS_0x4157,2,2
34,CUS_0x4157,2,1
35,CUS_0x4157,2,1
36,CUS_0xba08,2,1
37,CUS_0xba08,2,1
38,CUS_0xba08,2,1
39,CUS_0xba08,2,2
40,CUS_0xa66b,0,0
41,CUS_0xa66b,0,1
42,CUS_0xa66b,0,1
43,CUS_0xa66b,0,1
44,CUS_0xc0ab,2,2
45,CUS_0xc0ab,2,0
46,CUS_0xc0ab,2,2
47,CUS_0xc0ab,2,1
48,CUS_0x3e45,1,1
49,CUS_0x3e45,1,1
50,CUS_0x3e45,1,1
51,CUS_0x3e45,1,1
52,CUS_0x6c66,1,0
53,CUS_0x6c66,1,0
54,CUS_0x6c66,1,0
55,CUS_0x6c66,1,0
56,CUS_0xff4,1,1
57,CUS_0xff4,1,1
58,CUS_0xff4,1,1
59,CUS_0xff4,1,1
60,CUS_0x33d2,0,1
61,CUS_0x33d2,1,1
62,CUS_0x33d2,1,1
63,CUS_0x33d2,1,1
64,CUS_0x6070,1,1
65,CUS_0x6070,1,1
66,CUS_0x6070,1,1
67,CUS_0x6070,1,0
68,CUS_0xfdb,1,1
69,CUS_0xfdb,1,1
70,CUS_0xfdb,1,1
71,CUS_0xfdb,1,1
72,CUS_0x3553,1,2
73,CUS_0x3553,1,2
74,CUS_0x3553,1,1
75,CUS_0x3553,1,2
76,CUS_0x4100,1,0
77,CUS_0x4100,1,1
78,CUS_0x4100,1,1
79,CUS_0x4100,1,1
80,CUS_0x132f,1,1
81,CUS_0x132f,1,1
82,CUS_0x132f,1,0
83,CUS_0x132f,1,1
84,CUS_0xa16e,0,0
85,CUS_0xa16e,0,1
86,CUS_0xa16e,0,1
87,CUS_0xa16e,0,0
88,CUS_0xac86,2,1
89,CUS_0xac86,2,1
90,CUS_0xac86,2,2
91,CUS_0xac86,2,2
92,CUS_0x5b48,1,0
93,CUS_0x5b48,1,0
94,CUS_0x5b48,1,1
95,CUS_0x5b48,1,1
96,CUS_0xa5f9,0,0
97,CUS_0xa5f9,0,0
98,CUS_0xa5f9,0,0
99,CUS_0xa5f9,0,0
100,CUS_0x4d43,1,1
101,CUS_0x4d43,1,1
102,CUS_0x4d43,1,1
103,CUS_0x4d43,1,1
104,CUS_0xb95f,0,0
105,CUS_0xb95f,0,0
106,CUS_0xb95f,0,0
107,CUS_0xb95f,0,0
108,CUS_0x3edc,1,1
109,CUS_0x3edc,1,1
110,CUS_0x3edc,1,1
111,CUS_0x3edc,1,1
112,CUS_0xbffe,1,1
113,CUS_0xbffe,1,1
114,CUS_0xbffe,1,1
115,CUS_0xbffe,1,1
116,CUS_0xb681,0,0
117,CUS_0xb681,0,0
118,CUS_0xb681,0,0
119,CUS_0xb681,0,0
120,CUS_0x9a71,2,1
121,CUS_0x9a71,2,2
122,CUS_0x9a71,2,2
123,CUS_0x9a71,2,1
124,CUS_0x6048,0,0
125,CUS_0x6048,0,0
126,CUS_0x6048,0,1
127,CUS_0x6048,0,0
128,CUS_0x95b5,1,1
129,CUS_0x95b5,1,1
130,CUS_0x95b5,1,1
131,CUS_0x95b5,1,1
132,CUS_0x4004,1,1
133,CUS_0x4004,1,1
134,CUS_0x4004,1,1
135,CUS_0x4004,1,1
136,CUS_0xb101,2,1
137,CUS_0xb101,2,1
138,CUS_0xb101,2,1
139,CUS_0xb101,2,1
140,CUS_0x9b94,1,2
141,CUS_0x9b94,1,2
142,CUS_0x9b94,1,1
143,CUS_0x9b94,1,1
144,CUS_0x4080,0,1
145,CUS_0x4080,0,1
146,CUS_0x4080,0,1
147,CUS_0x4080,0,0
148,CUS_0x706a,1,1
149,CUS_0x706a,1,1
150,CUS_0x706a,1,1
151,CUS_0x706a,1,1
152,CUS_0x42ac,0,0
153,CUS_0x42ac,1,0
154,CUS_0x42ac,1,0
155,CUS_0x42ac,1,0
156,CUS_0x571f,1,1
157,CUS_0x571f,1,1
158,CUS_0x571f,1,1
159,CUS_0x571f,1,1
160,CUS_0xb5ff,1,1
161,CUS_0xb5ff,1,1
162,CUS_0xb5ff,1,1
163,CUS_0xb5ff,1,1
164,CUS_0x6a1b,0,1
165,CUS_0x6a1b,0,1
166,CUS_0x6a1b,0,1
167,CUS_0x6a1b,0,1
168,CUS_0x9bc1,0,1
169,CUS_0x9bc1,0,1
170,CUS_0x9bc1,0,1
171,CUS_0x9bc1,0,1
172,CUS_0xc65,2,1
173,CUS_0xc65,2,2
174,CUS_0xc65,2,1
175,CUS_0xc65,2,2
176,CUS_0xaedb,2,2
177,CUS_0xaedb,2,2
178,CUS_0xaedb,2,2
179,CUS_0xaedb,2,2
180,CUS_0x8e9b,0,1
181,CUS_0x8e9b,0,1
182,CUS_0x8e9b,0,1
183,CUS_0x8e9b,0,1
184,CUS_0x609d,0,0
185,CUS_0x609d,0,0
186,CUS_0x609d,0,0
187,CUS_0x609d,0,0
188,CUS_0x75c6,2,0
189,CUS_0x75c6,2,1
190,CUS_0x75c6,2,2
191,CUS_0x75c6,2,2
192,CUS_0x9b3c,0,1
193,CUS_0x9b3c,0,1
194,CUS_0x9b3c,0,1
195,CUS_0x9b3c,0,1
196,CUS_0x22a3,1,1
197,CUS_0x22a3,1,1
198,CUS_0x22a3,1,1
199,CUS_0x22a3,1,1
200,CUS_0xb14,0,0
201,CUS_0xb14,0,0
202,CUS_0xb14,0,0
203,CUS_0xb14,0,0
204,CUS_0xb986,0,0
205,CUS_0xb986,0,1
206,CUS_0xb986,0,0
207,CUS_0xb986,0,0
208,CUS_0xbe1b,0,0
209,CUS_0xbe1b,0,0
210,CUS_0xbe1b,0,0
211,CUS_0xbe1b,0,0
212,CUS_0x9ce6,2,1
213,CUS_0x9ce6,2,1
214,CUS_0x9ce6,2,1
215,CUS_0x9ce6,2,1
216,CUS_0x6ffb,1,0
217,CUS_0x6ffb,1,0
218,CUS_0x6ffb,1,0
219,CUS_0x6ffb,1,0
220,CUS_0x4315,1,1
221,CUS_0x4315,1,2
222,CUS_0x4315,1,2
223,CUS_0x4315,1,1
224,CUS_0x3f5b,1,1
225,CUS_0x3f5b,1,1
226,CUS_0x3f5b,1,1
227,CUS_0x3f5b,1,1
228,CUS_0x9d78,0,1
229,CUS_0x9d78,0,0
230,CUS_0x9d78,0,0
231,CUS_0x9d78,0,1
232,CUS_0x47db,0,0
233,CUS_0x47db,0,0
234,CUS_0x47db,0,0
235,CUS_0x47db,0,0
236,CUS_0x8f17,0,0
237,CUS_0x8f17,0,0
238,CUS_0x8f17,0,0
239,CUS_0x8f17,0,0
240,CUS_0x7d0b,0,1
241,CUS_0x7d0b,0,1
242,CUS_0x7d0b,0,1
243,CUS_0x7d0b,0,1
244,CUS_0x7504,1,1
245,CUS_0x7504,1,1
246,CUS_0x7504,1,1
247,CUS_0x7504,1,1
248,CUS_0x774,2,2
249,CUS_0x774,2,2
250,CUS_0x774,2,2
251,CUS_0x774,2,2
252,CUS_0x9f70,2,2
253,CUS_0x9f70,2,2
254,CUS_0x9f70,2,2
255,CUS_0x9f70,2,2
256,CUS_0xab76,1,1
257,CUS_0xab76,1,1
258,CUS_0xab76,1,1
259,CUS_0xab76,1,1
260,CUS_0x5cdf,1,0
261,CUS_0x5cdf,1,0
262,CUS_0x5cdf,1,1
263,CUS_0x5cdf,1,1
264,CUS_0x2184,0,1
265,CUS_0x2184,0,1
266,CUS_0x2184,0,1
267,CUS_0x2184,0,1
268,CUS_0xa156,0,0
269,CUS_0xa156,0,0
270,CUS_0xa156,0,0
271,CUS_0xa156,0,0
272,CUS_0x74f2,1,1
273,CUS_0x74f2,1,1
274,CUS_0x74f2,1,1
275,CUS_0x74f2,1,1
276,CUS_0x308b,0,0
277,CUS_0x308b,0,1
278,CUS_0x308b,0,0
279,CUS_0x308b,0,0
280,CUS_0x2827,2,1
281,CUS_0x2827,2,1
282,CUS_0x2827,2,2
283,CUS_0x2827,2,1
284,CUS_0xa295,1,1
285,CUS_0xa295,1,1
286,CUS_0xa295,1,1
287,CUS_0xa295,1,1
288,CUS_0x6c2e,2,1
289,CUS_0x6c2e,2,1
290,CUS_0x6c2e,2,1
291,CUS_0x6c2e,2,1
292,CUS_0x384c,0,1
293,CUS_0x384c,0,1
294,CUS_0x384c,0,0
295,CUS_0x384c,0,1
296,CUS_0x6cbb,2,2
297,CUS_0x6cbb,2,1
298,CUS_0x6cbb,2,1
299,CUS_0x6cbb,2,1
300,CUS_0x36ab,0,0
301,CUS_0x36ab,0,1
302,CUS_0x36ab,0,1
303,CUS_0x36ab,0,0
304,CUS_0x6649,1,1
305,CUS_0x6649,1,1
306,CUS_0x6649,1,1
307,CUS_0x6649,1,1
308,CUS_0x6856,2,2
309,CUS_0x6856,2,1
310,CUS_0x6856,2,2
311,CUS_0x6856,2,1
312,CUS_0xa27e,1,1
313,CUS_0xa27e,1,1
314,CUS_0xa27e,1,1
315,CUS_0xa27e,1,1
316,CUS_0x700d,0,0
317,CUS_0x700d,0,0
318,CUS_0x700d,0,0
319,CUS_0x700d,0,0
320,CUS_0x78e0,1,1
321,CUS_0x78e0,1,1
322,CUS_0x78e0,1,1
